update,repeat,time,meanGenome,maxGenome,meanScore,maxScore
0,0,0,"0.000000,","0,",0.000000,0.000000
1,0,1,"0.000020,","1,",-0.004275,0.000000
2,0,2,"0.000280,","2,",-0.006270,0.000000
3,0,3,"0.000910,","2,",-0.007110,0.000000
4,0,4,"0.001200,","2,",-0.007540,0.000000
5,0,5,"0.001560,","2,",-0.007513,0.000000
6,0,6,"0.001660,","2,",-0.007375,0.000000
7,0,7,"0.001900,","2,",-0.007443,0.000000
8,0,8,"0.001480,","2,",-0.007490,0.000000
9,0,9,"0.001900,","2,",-0.007760,0.000000
10,0,10,"0.001910,","2,",-0.007508,0.000000
11,0,11,"0.002310,","2,",-0.008153,0.000000
12,0,12,"0.001530,","2,",-0.008155,0.000000
13,0,13,"0.001810,","2,",-0.008348,0.000000
14,0,14,"0.001790,","2,",-0.008185,0.000000
15,0,15,"0.001790,","2,",-0.008183,0.000000
16,0,16,"0.001090,","2,",-0.008053,0.000000
17,0,17,"0.000900,","2,",-0.008250,0.000000
18,0,18,"0.001560,","2,",-0.008120,0.000000
19,0,19,"0.001220,","2,",-0.007990,0.000000
20,0,20,"0.001560,","2,",-0.007957,0.000000
21,0,21,"0.002040,","2,",-0.008247,0.000000
22,0,22,"0.001320,","2,",-0.008773,0.000000
23,0,23,"0.001070,","2,",-0.008788,0.000000
24,0,24,"0.001500,","2,",-0.008032,0.000000
25,0,25,"0.001440,","2,",-0.008172,0.000000
26,0,26,"0.001620,","2,",-0.008077,0.000000
27,0,27,"0.001340,","2,",-0.008048,0.000000
28,0,28,"0.001010,","2,",-0.008285,0.000000
29,0,29,"0.000590,","2,",-0.007978,0.000000
30,0,30,"0.001390,","2,",-0.007712,0.000000
31,0,31,"0.001200,","2,",-0.007917,0.000000
32,0,32,"0.001400,","2,",-0.008048,0.000000
33,0,33,"0.001430,","2,",-0.008157,0.000000
34,0,34,"0.001580,","2,",-0.007817,0.000000
35,0,35,"0.001010,","2,",-0.008625,0.000000
36,0,36,"0.001280,","2,",-0.007872,0.000000
37,0,37,"0.001100,","2,",-0.008528,0.000000
38,0,38,"0.000970,","2,",-0.007853,0.000000
39,0,39,"0.001140,","2,",-0.008027,0.000000
40,0,40,"0.000960,","2,",-0.007582,0.000000
41,0,41,"0.000890,","2,",-0.007955,0.000000
42,0,42,"0.001730,","2,",-0.008048,0.000000
43,0,43,"0.001740,","2,",-0.007707,0.000000
44,0,44,"0.001960,","2,",-0.007862,0.000000
45,0,45,"0.001770,","2,",-0.007752,0.000000
46,0,46,"0.001380,","2,",-0.007853,0.000000
47,0,47,"0.001770,","2,",-0.007912,0.000000
48,0,48,"0.001480,","2,",-0.007832,0.000000
49,0,49,"0.001060,","2,",-0.008042,0.000000
50,0,50,"0.001090,","1,",-0.007718,0.000000
51,0,51,"0.001040,","1,",-0.007840,0.000000
52,0,52,"0.001220,","1,",-0.008095,0.000000
53,0,53,"0.001480,","1,",-0.008310,0.000000
54,0,54,"0.001280,","1,",-0.008140,0.000000
55,0,55,"0.001020,","1,",-0.007737,0.000000
56,0,56,"0.000610,","2,",-0.007358,0.000000
57,0,57,"0.000820,","2,",-0.007490,0.000000
58,0,58,"0.001060,","2,",-0.007690,0.000000
59,0,59,"0.001370,","2,",-0.008197,0.000000
60,0,60,"0.001620,","2,",-0.008363,0.000000
61,0,61,"0.001520,","2,",-0.008175,0.000000
62,0,62,"0.002130,","2,",-0.007825,0.000000
63,0,63,"0.001500,","1,",-0.007810,0.000000
64,0,64,"0.001350,","1,",-0.007770,0.000000
65,0,65,"0.001660,","2,",-0.007217,0.000000
66,0,66,"0.001420,","2,",-0.007760,0.000000
67,0,67,"0.001430,","1,",-0.007952,0.000000
68,0,68,"0.001580,","1,",-0.008165,0.000000
69,0,69,"0.001900,","2,",-0.007992,0.000000
70,0,70,"0.001560,","2,",-0.007805,0.000000
71,0,71,"0.002040,","2,",-0.007548,0.000000
72,0,72,"0.001920,","2,",-0.008053,0.000000
73,0,73,"0.002230,","2,",-0.007912,0.000000
74,0,74,"0.002350,","2,",-0.008150,0.000000
75,0,75,"0.001920,","2,",-0.008500,0.000000
76,0,76,"0.001560,","2,",-0.008592,0.000000
77,0,77,"0.001720,","2,",-0.008457,0.000000
78,0,78,"0.001670,","2,",-0.008172,0.000000
79,0,79,"0.001080,","2,",-0.008667,0.000000
